trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 1, 'e': 0.03916389509898708}",25,15,20.548989721660636,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 1, 'e': 0.038006427075174314}",20,10,14.854737955142477,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 1, 'e': 0.036883167401240015}",30,17,25.790069428526152,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 1, 'e': 0.0357931050676553}",20,10,17.96462920645391,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 1, 'e': 0.03473525894473856}",30,19,22.346792515655995,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 1, 'e': 0.033708676899572416}",20,5,22.93799325110558,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 1, 'e': 0.03271243493901982}",20,16,8.501875297947429,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 1, 'e': 0.03174563637806795}",25,18,15.515114554676979,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 1, 'e': 0.030807411032751076}",30,13,31.38716912609959,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 1, 'e': 0.02989691443692632}",25,13,18.901768842633377,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 1, 'e': 0.029013327082197053}",25,20,12.075185676551417,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 1, 'e': 0.028155853680300106}",25,14,22.754802773280428,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 1, 'e': 0.02732372244729257}",20,4,28.997194617203036,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 1, 'e': 0.02651618440889418}",35,15,31.51867182825306,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 1, 'e': 0.025732512726359954}",20,14,12.210855080086137,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 1, 'e': 0.024972002042276155}",20,16,6.677721650966902,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 1, 'e': 0.024233967845691123}",20,2,26.71908375811168,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 1, 'e': 0.023517745856009107}",25,17,16.701135660945205,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 1, 'e': 0.02282269142509298}",20,14,11.867846209207102,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 1, 'e': 0.022148178957037315}",25,11,25.243715162387844,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 1, 'e': 0.021493601345089923}",20,10,18.230184723015554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 1, 'e': 0.020858369425214726}",35,21,21.21800359165981,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 1, 'e': 0.02024191144580439}",20,3,-16.53947123710975,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 1, 'e': 0.0196436725530653}",25,13,21.910552152979758,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 1, 'e': 0.019063114291611637}",25,9,27.02723447319923,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 1, 'e': 0.01849971411981925}",30,8,35.91681910725285,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 1, 'e': 0.017952964939502866}",20,8,19.686725511844497,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 1, 'e': 0.017422374639493515}",25,0,34.84996305655501,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 1, 'e': 0.01690746565270528}",30,16,25.35033262596906,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 1, 'e': 0.01640777452629266}",30,13,30.23365962872057,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 1, 'e': 0.015922851504511698}",20,11,18.824531697596843,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 1, 'e': 0.015452260123909515}",20,2,33.48920255642018,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 1, 'e': 0.014995576820477703}",30,12,32.893969870963836,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 1, 'e': 0.014552390548416136}",25,4,36.07364411152922,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 1, 'e': 0.014122302410163962}",25,5,37.45035591259481,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 1, 'e': 0.013704925297364945}",20,9,22.413984702999826,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 1, 'e': 0.013299883542443767}",20,9,21.486078379542175,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
