trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 1.0}",20,0,-63.43894509078438,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 1, 'e': 0.9704455335485082}",20,0,-133.7346421121757,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 1, 'e': 0.9417645335842487}",25,2,-113.84981675943875,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 1}",1
4,False,"{'a': 1, 'e': 0.9139311852712282}",30,14,-42.648603311832666,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 1, 'e': 0.8869204367171575}",25,0,-194.65653421229908,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 1, 'e': 0.8607079764250578}",25,2,-50.55161503557049,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 0}",1
7,False,"{'a': 1, 'e': 0.835270211411272}",25,0,-203.1182441371792,"{0: 14, 1: 3, 2: 2, 3: 3, 4: 3}",0
8,False,"{'a': 1, 'e': 0.8105842459701871}",20,0,-3.2624527399548766,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 1, 'e': 0.7866278610665535}",20,0,-106.44286157139553,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 1, 'e': 0.7633794943368531}",30,0,-137.11700459647193,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
11,False,"{'a': 1, 'e': 0.7408182206817179}",25,19,12.45954731228155,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 1, 'e': 0.7189237334319262}",20,0,-69.9158987449353,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 1, 'e': 0.697676326071031}",20,0,-79.56940775424124,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 1, 'e': 0.6770568744981647}",35,12,-127.54098998083835,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 2}",1
15,False,"{'a': 1, 'e': 0.6570468198150567}",20,0,-40.06758731626535,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 1, 'e': 0.6376281516217733}",20,0,-12.70350540750961,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 1, 'e': 0.6187833918061408}",25,5,-33.498237669226306,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 1, 'e': 0.6004955788122659}",20,0,-159.6439848166282,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
19,False,"{'a': 1, 'e': 0.5827482523739896}",20,0,-63.31073479730618,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 1, 'e': 0.5655254386995371}",20,0,-20.74145420735598,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 1, 'e': 0.5488116360940265}",20,0,-67.96252256868463,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 1, 'e': 0.5325918010068972}",20,12,15.23901567637574,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 1, 'e': 0.5168513344916993}",20,0,-102.42094279095122,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
24,False,"{'a': 1, 'e': 0.5015760690660556}",30,6,4.1954012444438,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 1, 'e': 0.4867522559599717}",20,5,-0.8742142911369903,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 1, 'e': 0.4723665527410147}",35,27,16.349714106120615,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 1, 'e': 0.4584060113052235}",25,0,-23.9730887799984,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
28,False,"{'a': 1, 'e': 0.44485806622294116}",25,0,-34.713839110577524,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 1, 'e': 0.43171052342907973}",25,0,-35.758471265832284,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
30,False,"{'a': 1, 'e': 0.418951549247639}",30,0,-130.97016839149086,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 3}",0
31,False,"{'a': 1, 'e': 0.40656965974059917}",25,2,-100.68196477973721,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 2}",1
32,False,"{'a': 1, 'e': 0.39455371037160114}",20,0,-28.167248361663862,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 1, 'e': 0.38289288597511206}",20,0,-84.72165997332773,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 1, 'e': 0.3715766910220457}",20,3,8.100454512402205,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 1, 'e': 0.3605949401730783}",20,5,-51.53630151957983,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 0}",1
36,False,"{'a': 1, 'e': 0.3499377491111553}",30,6,1.5074019735911097,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 0}",1
37,False,"{'a': 1, 'e': 0.3395955256449391}",30,3,-125.52433324892458,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 3}",1
38,False,"{'a': 1, 'e': 0.3295589610751891}",30,0,-9.529629730621126,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 1, 'e': 0.31981902181630395}",20,16,7.237892889152576,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 1, 'e': 0.31036694126548503}",25,0,3.22805098301931,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
41,False,"{'a': 1, 'e': 0.30119421191220214}",35,17,-72.61047467872238,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
42,False,"{'a': 1, 'e': 0.2922925776808594}",25,0,-42.95083951636252,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
43,False,"{'a': 1, 'e': 0.2836540264997704}",25,3,-26.91746985913404,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
44,False,"{'a': 1, 'e': 0.27527078308975234}",25,7,-56.65292083416638,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 1}",1
45,False,"{'a': 1, 'e': 0.2671353019658504}",20,8,-20.476837478984297,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 1, 'e': 0.25924026064589156}",30,20,3.0990247073809183,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 1, 'e': 0.2515785530597565}",30,0,-130.45446966306778,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 3}",0
48,False,"{'a': 1, 'e': 0.2441432831534371}",30,18,-17.554123012777172,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 1, 'e': 0.23692775868212176}",25,0,-49.37742259363809,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
50,False,"{'a': 1, 'e': 0.22992548518672384}",25,7,5.758284122245796,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 1, 'e': 0.22313016014842982}",20,0,-58.76272031473938,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
52,False,"{'a': 1, 'e': 0.21653566731600707}",25,0,21.958112652731145,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 1, 'e': 0.21013607120076472}",20,7,-8.5810724501479,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 1, 'e': 0.20392561173421347}",30,15,24.80212156583169,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 1, 'e': 0.1978986990836147}",30,0,-17.32395695608882,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 1, 'e': 0.19204990862075413}",30,0,36.53213175765404,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 1, 'e': 0.18637397603940997}",30,2,-108.31135285576654,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 3}",1
58,False,"{'a': 1, 'e': 0.1808657926171221}",20,0,9.840497519165407,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 1, 'e': 0.17552040061699686}",35,0,3.925186873458374,"{0: 32, 1: 0, 2: 2, 3: 1, 4: 0}",0
60,False,"{'a': 1, 'e': 0.17033298882540943}",25,14,8.775151035325132,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 1, 'e': 0.16529888822158656}",20,8,11.06123106719744,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 1, 'e': 0.1604135677751728}",25,18,11.301788287179996,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 1, 'e': 0.15567263036799733}",25,1,1.687377331646957,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 1, 'e': 0.15107180883637086}",25,3,2.6191735555416447,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 1, 'e': 0.14660696213035015}",20,16,9.771742634937993,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
